old,new,ps,pr
Песн. 1:1-4:16,2Кор. 8:16-24,Пс. 49:1-23,Прит. 22:22-23
Песн. 5:1-8:14,2Кор. 9:1-15,Пс. 50:1-21,Прит. 22:24-25
Исаия 1:1-2:22,2Кор. 10:1-18,Пс. 51:1-11,Прит. 22:26-27
Исаия 3:1-5:30,2Кор. 11:1-15,Пс. 52:1-7,Прит. 22:28-29
Исаия 6:1-7:25,2Кор. 11:16-33,Пс. 53:1-9,Прит. 23:1-3
Исаия 8:1-9:21,2Кор. 12:1-10,Пс. 54:1-24,Прит. 23:4-5
Исаия 10:1-11:16,2Кор. 12:11-21,Пс. 55:1-14,Прит. 23:6-8
Исаия 12:1-14:32,2Кор. 13:1-14,Пс. 56:1-12,Прит. 23:9-11
Исаия 15:1-18:7,Гал. 1:1-24,Пс. 57:1-12,Прит. 23:12
Исаия 19:1-21:17,Гал. 2:1-16,Пс. 58:1-18,Прит. 23.13-14
Исаия 22:1-24:23,Гал. 2:17-3:9,Пс. 59:1-14,Прит. 23:15-16
Исаия 25:1-28:13,Гал. 3:10-22,Пс. 60:1-9,Прит. 23:17-18
Исаия 28:14-30:11,Гал. 3:23-4:31,Пс. 61:1-13,Прит. 23:19-21
Исаия 30:12-33:9,Гал. 5:1-12,Пс. 62:1-12,Прит. 23:22
Исаия 33:10-36:22,Гал. 5:13-26,Пс. 63:1-11,Прит. 23:23
Исаия 37:1-38:22,Гал. 6:1-18,Пс. 64:1-14,Прит. 23:24
Исаия 39:1-41:16,Еф. 1:1-23,Пс. 65:1-20,Прит. 23:25-28
Исаия 41:17-43:13,Еф. 2:1-22,Пс. 66:1-8,Прит. 23:29-35
Исаия 43:14-45:10,Еф. 3:1-21,Пс. 67:1-19,Прит. 24:1-2
Исаия 45:11-48:11,Еф. 4:1-16,Пс. 67:20-36,Прит. 24:3-4
Исаия 48:12-50:11,Еф. 4:17-32,Пс. 68:1-19,Прит. 24:5-6
Исаия 51:1-53:12,Еф. 5:1-33,Пс. 68:20-37,Прит. 24:7
Исаия 54:1-57:14,Еф. 6:1-24,Пс. 69:1-6,Прит. 24:8
Исаия 57:15-59:21,Флп. 1:1-26,Пс. 70:1-24,Прит. 24:9-10
Исаия 60:1-62:5,Флп. 1:27-2:18,Пс. 71:1-20,Прит. 24:11-12
Исаия 62:6-65:25,Флп. 2:19-3:3,Пс. 72:1-28,Прит. 24:13-14
